RequestID,OperationType,Time_ns
426,PUT,1100
427,GET,600
428,GET,200
429,GET,500
430,GET,200
431,GET,600
432,GET,300
433,GET,800
434,GET,500
435,PUT,1100
436,PUT,1000
437,GET,300
438,GET,200
439,GET,600
440,PUT,900
441,GET,600
442,PUT,900
443,GET,400
444,GET,400
445,GET,400
446,PUT,700
447,PUT,700
448,GET,200
449,PUT,900
450,PUT,700
451,PUT,700
452,GET,700
453,GET,300
454,GET,400
455,GET,500
456,GET,600
457,GET,500
458,PUT,800
459,GET,600
460,GET,400
461,GET,900
462,PUT,700
463,PUT,600
464,GET,700
465,GET,300
466,PUT,800
467,GET,500
468,GET,700
469,PUT,900
470,PUT,700
471,GET,400
472,GET,200
473,PUT,1000
474,PUT,700
475,GET,300
476,GET,200
477,GET,500
478,GET,500
479,GET,500
480,GET,200
481,GET,400
482,PUT,600
483,GET,500
484,GET,200
485,PUT,800
486,GET,600
487,GET,200
488,GET,400
489,GET,600
490,GET,300
491,PUT,800
492,PUT,600
493,GET,400
494,GET,400
495,GET,400
496,GET,700
497,PUT,800
498,PUT,800
499,GET,500
500,GET,100
501,GET,400
502,GET,500
503,GET,200
504,GET,1700
505,GET,700
506,GET,300
507,GET,500
508,PUT,1100
509,GET,500
510,GET,400
511,GET,900
512,PUT,700
513,GET,500
514,GET,500
515,PUT,600
516,PUT,800
517,GET,500
518,GET,1000
519,GET,500
520,PUT,600
521,GET,200
522,PUT,700
523,GET,300
524,PUT,600
525,GET,200
526,GET,200
527,PUT,1100
528,GET,600
529,GET,200
530,GET,600
531,GET,500
532,PUT,1200
533,GET,500
534,PUT,600
535,GET,300
536,PUT,900
537,PUT,600
538,PUT,600
539,GET,800
540,GET,200
541,GET,500
542,PUT,800
543,GET,300
544,PUT,1000
545,GET,700
546,PUT,700
547,GET,500
548,GET,1000
549,PUT,1400
550,GET,500
551,GET,600
552,PUT,800
553,PUT,700
554,GET,300
555,GET,200
556,GET,700
557,GET,400
558,GET,400
559,PUT,700
560,PUT,1000
561,GET,300
562,PUT,900
563,PUT,700
564,PUT,700
565,PUT,700
566,GET,300
567,GET,500
568,PUT,800
569,GET,300
570,GET,400
571,PUT,700
572,PUT,900
573,GET,200
574,GET,200
575,PUT,800
576,PUT,900
577,GET,200
578,GET,600
579,GET,400
580,GET,400
581,GET,600
582,PUT,900
583,GET,200
584,GET,1100
585,GET,500
586,GET,200
587,GET,300
588,GET,600
589,GET,500
590,GET,1000
591,PUT,600
592,GET,200
593,GET,200
594,GET,200
595,GET,200
596,GET,500
597,PUT,700
598,PUT,500
599,GET,400
600,GET,300
601,GET,400
602,GET,200
603,GET,400
604,GET,500
605,GET,600
606,GET,300
607,GET,400
608,GET,500
609,PUT,600
610,PUT,800
611,GET,200
612,GET,600
613,PUT,700
614,PUT,700
615,GET,500
616,GET,500
617,GET,400
618,PUT,700
619,GET,500
620,GET,500
621,GET,400
622,GET,500
623,GET,300
624,PUT,1100
625,GET,300
626,PUT,600
627,GET,400
628,GET,200
629,GET,400
630,GET,300
631,GET,800
632,GET,600
633,PUT,800
634,PUT,800
635,GET,300
636,GET,500
637,GET,200
638,GET,2400
639,GET,400
640,GET,200
641,GET,200
642,GET,300
643,GET,300
644,PUT,1000
645,GET,600
646,GET,200
647,GET,200
648,GET,700
649,GET,200
650,GET,200
651,PUT,700
652,GET,500
653,GET,700
654,GET,600
655,PUT,1000
656,GET,500
657,GET,700
658,GET,500
659,PUT,700
660,PUT,600
661,GET,400
662,GET,500
663,GET,500
664,GET,600
665,GET,200
666,GET,300
667,GET,600
668,GET,200
669,PUT,900
670,GET,800
671,PUT,900
672,PUT,800
673,GET,300
674,GET,400
675,PUT,1300
676,GET,300
677,PUT,1000
678,PUT,600
679,PUT,700
680,GET,400
681,GET,200
682,PUT,700
683,GET,200
684,GET,300
685,GET,800
686,GET,800
687,GET,200
688,GET,1300
689,PUT,800
690,PUT,700
691,GET,300
692,GET,400
693,GET,200
694,PUT,900
695,GET,700
696,GET,300
697,PUT,1000
698,GET,500
699,PUT,800
700,GET,200
701,PUT,1100
702,PUT,800
703,GET,300
704,PUT,700
705,PUT,700
706,GET,200
707,GET,800
708,PUT,600
709,GET,700
710,PUT,600
711,PUT,600
712,GET,200
713,GET,500
714,GET,500
715,GET,200
716,GET,200
717,GET,500
718,GET,500
719,GET,200
720,GET,600
721,GET,200
722,GET,400
723,GET,2100
724,GET,600
725,PUT,1200
726,GET,300
727,GET,300
728,PUT,900
729,GET,400
730,GET,300
731,GET,300
732,GET,1000
733,PUT,900
734,GET,500
735,GET,100
736,GET,300
737,GET,700
738,GET,700
739,GET,300
740,GET,600
741,PUT,800
742,GET,700
743,GET,600
744,GET,200
745,GET,500
746,GET,100
747,GET,700
748,GET,300
749,PUT,1200
750,GET,700
751,PUT,800
752,PUT,600
753,GET,900
754,GET,100
755,GET,600
756,GET,200
757,PUT,700
758,GET,700
759,GET,400
760,PUT,1100
761,GET,200
762,GET,200
763,GET,100
764,GET,300
765,GET,600
766,GET,300
767,GET,200
768,GET,700
769,PUT,1100
770,GET,400
771,GET,500
772,GET,200
773,GET,200
774,PUT,2000
775,GET,200
776,GET,900
777,PUT,700
778,GET,400
779,PUT,1000
780,GET,300
781,GET,500
782,PUT,900
783,GET,300
784,GET,200
785,PUT,700
786,PUT,800
787,GET,500
788,PUT,700
789,GET,200
790,GET,600
791,PUT,700
792,PUT,700
793,PUT,900
794,GET,600
795,GET,1000
796,PUT,600
797,GET,500
798,GET,200
799,GET,200
800,GET,200
801,GET,200
802,GET,400
803,GET,100
804,GET,400
805,PUT,1000
806,GET,300
807,PUT,600
808,PUT,800
809,GET,1000
810,GET,200
811,PUT,800
812,GET,500
813,PUT,900
814,GET,700
815,GET,200
816,PUT,800
817,GET,600
818,GET,200
819,PUT,1000
820,PUT,900
821,PUT,600
822,GET,400
823,GET,400
824,GET,300
825,GET,400
826,GET,500
827,PUT,900
828,GET,400
829,GET,400
830,GET,200
831,GET,100
832,GET,600
833,GET,100
834,PUT,1000
835,PUT,800
836,GET,200
837,GET,700
838,GET,800
839,GET,500
840,PUT,700
841,GET,200
842,GET,500
843,GET,600
844,PUT,800
845,PUT,800
846,PUT,900
847,PUT,800
848,GET,700
849,PUT,800
850,GET,700
851,GET,400
852,GET,300
853,PUT,800
854,GET,400
855,GET,300
856,GET,200
857,GET,100
858,GET,500
859,PUT,800
860,PUT,900
861,PUT,900
862,PUT,800
863,GET,200
864,GET,600
865,GET,300
866,PUT,600
867,GET,200
868,GET,300
869,PUT,600
870,GET,200
871,GET,300
872,GET,100
873,PUT,1000
874,PUT,800
875,GET,200
876,GET,1900
877,PUT,700
878,PUT,600
879,GET,700
880,PUT,700
881,GET,800
882,GET,600
883,PUT,18200
884,PUT,1500
885,PUT,800
886,PUT,800
887,PUT,800
888,GET,200
889,PUT,1000
890,PUT,600
891,GET,800
892,PUT,800
893,PUT,600
894,PUT,900
895,GET,900
896,PUT,800
897,GET,200
898,GET,200
899,PUT,800
900,PUT,600
901,GET,400
902,GET,700
903,GET,200
904,GET,600
905,PUT,600
906,GET,500
907,GET,200
908,PUT,1100
909,PUT,900
910,PUT,800
911,PUT,800
912,GET,700
913,PUT,700
914,PUT,900
915,GET,200
916,GET,200
917,GET,300
918,PUT,800
919,PUT,700
920,GET,500
921,GET,700
922,GET,600
923,GET,100
924,GET,600
925,GET,700
926,GET,100
927,GET,100
928,GET,400
929,GET,300
930,GET,300
931,GET,200
932,GET,600
933,GET,600
934,GET,500
935,PUT,1200
936,GET,200
937,GET,500
938,GET,200
939,PUT,800
940,GET,400
941,PUT,900
942,GET,200
943,GET,600
944,PUT,1900
945,PUT,900
946,PUT,700
947,GET,200
948,GET,500
949,GET,700
950,PUT,800
951,PUT,800
952,GET,500
953,GET,400
954,GET,700
955,GET,600
956,GET,100
957,PUT,1200
958,PUT,800
959,GET,1000
960,GET,300
961,GET,400
962,GET,100
963,GET,300
964,GET,500
965,GET,600
966,GET,300
967,GET,200
968,GET,200
969,GET,500
970,GET,1100
971,PUT,1300
972,GET,200
973,GET,200
974,GET,300
975,GET,200
976,GET,300
977,PUT,1000
978,GET,800
979,GET,300
980,GET,100
981,GET,200
982,GET,100
983,GET,200
984,GET,200
985,GET,200
986,PUT,800
987,GET,200
988,PUT,900
989,GET,100
990,PUT,800
991,PUT,1000
992,GET,200
993,GET,300
994,PUT,900
995,GET,300
996,GET,400
997,GET,600
998,GET,600
999,GET,400
1000,GET,600
1001,GET,500
1002,GET,200
1003,PUT,1500
1004,GET,300
1005,GET,800
1006,GET,300
1007,GET,400
1008,GET,200
1009,GET,100
1010,GET,200
