RequestID,OperationType,Time_ns
400,GET,500
401,GET,400
402,GET,800
403,PUT,1600
404,PUT,1400
405,GET,400
406,GET,1099
407,PUT,1600
408,PUT,1299
409,GET,1101
410,GET,1300
411,GET,600
412,GET,201
413,GET,1000
414,PUT,1600
415,GET,1301
416,GET,1000
417,PUT,2000
418,PUT,1500
419,PUT,1501
420,GET,399
421,GET,400
422,GET,301
423,GET,901
424,GET,400
425,GET,900
426,GET,1000
427,GET,300
428,GET,400
429,GET,1101
430,PUT,1900
431,GET,399
432,PUT,3800
433,GET,500
434,GET,1200
435,PUT,1600
436,GET,399
437,GET,700
438,GET,1600
439,GET,399
440,GET,799
441,GET,201
442,GET,901
443,GET,300
444,GET,399
445,GET,299
446,GET,900
447,GET,401
448,PUT,1600
449,GET,1299
450,GET,1100
451,GET,301
452,GET,1600
453,PUT,1800
454,GET,1200
455,GET,901
456,GET,300
457,GET,1000
458,GET,901
459,GET,900
460,GET,400
461,GET,901
462,GET,1200
463,GET,299
464,GET,1101
465,GET,400
466,PUT,1799
467,GET,1101
468,GET,1400
469,GET,1200
470,GET,1101
471,GET,700
472,GET,299
473,GET,300
474,PUT,1800
475,GET,1100
476,GET,901
477,PUT,1500
478,PUT,1700
479,GET,500
480,PUT,1500
481,GET,300
482,GET,400
483,GET,301
484,PUT,1900
485,PUT,2701
486,GET,401
487,GET,1100
488,GET,1000
489,GET,1100
490,PUT,1400
491,GET,999
492,PUT,2100
493,GET,701
494,GET,201
495,GET,1100
496,PUT,1899
497,GET,1399
498,GET,899
499,GET,400
500,PUT,2400
501,GET,599
502,GET,1100
503,GET,499
504,GET,1000
505,GET,1000
506,GET,801
507,GET,800
508,GET,1200
509,GET,899
510,GET,1200
511,GET,1000
512,GET,1100
513,GET,1000
514,GET,1100
515,GET,700
516,GET,500
517,GET,1400
518,PUT,1999
519,GET,401
520,PUT,2200
521,GET,300
522,GET,200
523,GET,300
524,GET,1200
525,GET,1099
526,PUT,1900
527,GET,399
528,GET,400
529,GET,301
530,GET,999
531,GET,700
532,PUT,1800
533,GET,1401
534,GET,1700
535,PUT,1900
536,GET,3100
537,GET,799
538,PUT,1801
539,GET,999
540,GET,301
541,PUT,1601
542,GET,400
543,PUT,2300
544,PUT,1800
545,PUT,1600
546,GET,301
547,GET,300
548,GET,2499
549,PUT,1700
550,GET,400
551,GET,300
552,GET,1000
553,GET,400
554,GET,301
555,GET,301
556,GET,1000
557,GET,299
558,GET,1401
559,PUT,1900
560,GET,700
561,PUT,2300
562,GET,1300
563,PUT,22200
564,PUT,16601
565,GET,1900
566,GET,37100
567,GET,1900
568,PUT,12399
569,GET,2200
570,PUT,5299
571,GET,1400
572,GET,1700
573,PUT,3600
574,PUT,4100
575,GET,1599
576,GET,1301
577,PUT,2400
578,PUT,1700
579,GET,700
580,GET,1200
581,GET,600
582,GET,401
583,GET,600
584,GET,1099
585,GET,899
586,PUT,1200
587,PUT,1700
588,GET,1200
589,GET,500
590,PUT,2000
591,PUT,1700
592,GET,400
593,GET,499
594,GET,1000
595,GET,1001
596,GET,900
597,GET,599
598,GET,900
599,GET,1100
600,GET,900
601,GET,700
602,GET,600
603,GET,1101
604,PUT,2900
605,GET,1599
606,GET,1401
607,GET,1200
608,GET,500
609,GET,400
610,GET,300
611,GET,900
612,GET,401
613,GET,1000
614,GET,499
615,GET,1100
616,GET,1001
617,GET,1000
618,GET,1099
619,PUT,2600
620,GET,499
621,PUT,2400
622,PUT,1400
623,PUT,1200
624,GET,601
625,GET,500
626,GET,501
627,GET,1100
628,GET,801
629,GET,1500
630,GET,801
631,GET,401
632,GET,901
633,GET,801
634,PUT,1900
635,GET,1200
636,GET,500
637,PUT,1299
638,GET,800
639,PUT,2000
640,GET,800
641,PUT,1400
642,GET,401
643,PUT,1699
644,GET,900
645,GET,501
646,GET,400
647,PUT,1800
648,GET,801
649,GET,1000
650,GET,501
651,GET,1000
652,PUT,2099
653,GET,700
654,GET,500
655,GET,900
656,GET,499
657,GET,1300
658,PUT,4500
659,GET,1600
660,PUT,5100
661,PUT,2800
662,GET,901
663,GET,700
664,GET,500
665,GET,601
666,GET,1500
667,GET,1400
668,GET,700
669,GET,599
670,PUT,4599
671,GET,1400
672,GET,700
673,PUT,2900
674,PUT,3300
675,GET,801
676,GET,700
677,GET,700
678,GET,6600
679,GET,700
680,PUT,3500
681,GET,900
682,PUT,2001
683,GET,1600
684,GET,1001
685,GET,699
686,GET,1200
687,GET,601
688,GET,1600
689,GET,600
690,GET,500
691,GET,599
692,GET,501
693,GET,1400
694,GET,500
695,PUT,4100
696,GET,1501
697,GET,600
698,GET,1401
699,PUT,1700
700,GET,400
701,GET,1100
702,PUT,1600
703,PUT,1300
704,PUT,1999
705,GET,400
706,PUT,1400
707,GET,300
708,PUT,999
709,GET,800
710,GET,299
711,GET,300
712,GET,700
713,GET,801
714,GET,300
715,GET,700
716,GET,1100
717,GET,899
718,PUT,1200
719,PUT,1200
720,PUT,1200
721,GET,800
722,PUT,1900
723,GET,1099
724,GET,500
725,PUT,2000
726,GET,899
727,PUT,1700
728,PUT,1200
729,GET,800
730,GET,200
731,GET,200
732,GET,500
733,GET,4000
734,GET,401
735,GET,600
736,GET,599
737,PUT,2101
738,GET,200
739,PUT,899
740,PUT,1300
741,PUT,801
742,GET,600
743,GET,300
744,GET,400
745,GET,800
746,PUT,700
747,PUT,600
748,GET,300
749,GET,700
750,GET,14300
751,GET,401
752,GET,200
753,GET,1000
754,GET,700
755,GET,500
756,PUT,1700
757,GET,700
758,PUT,1600
759,GET,500
760,PUT,2301
761,GET,901
762,GET,1299
763,PUT,1399
